Quote,Author
"I stood in front of a mountain and was overwhelmed by the beauty and energy; I had goosebumps. I thought, if I could record this feeling, go back home and pour it out again so other people can have that feeling, this I would want to be my work. I knew it was acting - I wanted to be like a messenger or medium.",Vicky Krieps
"There are grander and more sublime landscapes - to me. There are more compelling cultures. But what appeals to me about central Montana is that the combination of landscape and lifestyle is the most compelling I've seen on this earth. Small mountain ranges and open prairie, and different weather, different light, all within a 360-degree view.",Sam Abell
"My brother came home from college with a Mountain Goats cassette and I was like, 'What is this?' The lyrics were crazy to me. I'd never heard anything like it.",Aesop Rock
"People perceive me as this kind of hippy intellectual, reflecting and communing with nature or in a pyramid somewhere chanting. Really, no. I love speed, fast things, quad and road bikes, and bombing down a mountain.",Bill Bailey
"The story of mountaintop mining - why it happens, and what its consequences are - is still new to most Americans. They have no idea that their country's physical legacy - the purple mountain majesties that are America - is being destroyed at the rate of several ridgetops a week, by three million pounds of explosives every day.",Michael Shnayerson
"But I also know in standup, there's nowhere to hide. You get on stage and you deliver, or you are eviscerated and you are thrown into a pile of bodies at the bottom of a mountain.",Rob Delaney
"The rest of us are still trying to find ways to live in the world with spirit-ual values. Myself included. We've learned certain skills, we've learned to prevail somewhat, but we've not made it over the mountain.",Olympia Dukakis
"The older I get, the more of a recluse I turn into. I love the social aspect of my work. It's like a commune and gets very intense and very sociable. Then when I am not working, I shut myself away, so I can see myself living up a mountain.",Ben Daniels
"When I was in high school and college, I'd always been into websites, and when you'd read about sites and the companies and people behind them, they were always in Silicon Valley. This one's in Mountain View, this one's in Palo Alto. They're all right here. I knew I wanted to move out here, whether it was to work at Google or some other company.",Alan Schaaf
"All my father's stories were about our mountain, our valley, our jagged little patch of Idaho.",Tara Westover
"I'm one of those people who always needs a mountain to climb. When I get up a mountain as far as I think I'm going to get, I try to find another mountain.",Polly Bergen
"I was writing poetry, and the Mountain Goats was an outgrowth of that.",John Darnielle
"When you do a play, you have the kind of nightly feeling of accomplishment. But you also have the daily dread of the doing it every night. And because you're doing the whole thing every day, it's like climbing up the mountain every single night. With a movie it's like climbing the mountain very slowly, over months of filming.",Jesse Eisenberg
"Hinduism, Buddhism, Judaism, Christianity - I admire wise men. Some of my favorite forms of history are religious history, what the sages say from the top of the mountain and how they view life.",Keith Thurman
"Save for a few people in my life, every close male relationship that I have, they're all warriors, whether they're SEALs, competitive martial artists, or professional mountain climbers. They have a certain code.",Kurt Johnstad
"Nonfiction writers are the packhorses of literature. We're meant to carry the story. If we can make it up and down the mountain by a reliable if not scenic route, we have delivered. Technique is optional.",Stacy Schiff
"I would still rather be in Silicon Alley. I like the West Coast also, but it's sort of fragmented. You have companies in downtown San Francisco, companies in Mountain View, and people are driving between them all. It's kind of nice in New York to just jump in a cab and reach another company so easily.",Jon Oringer
"We shouldn't all be fixated just on what's not available. We should take a step back and look at the total that's available, because there's a mountain of information about us.",Tim Cook
You get to the top of one mountain and then you see another.,Mike Ashley
There is already a mountain of evidence that Saddam Hussein is gathering weapons for the purpose of using them. And adding additional information is like adding a foot to Mount Everest.,Ari Fleischer
"Our American story, for generations, is of a people who seek to move forward. A people who look at a mountain and worry not about the tough climb ahead, but dream about the view from the summit.",Bill Owens
"I almost never set out to photograph a landscape, nor do I think of my camera as a means of recording a mountain or an animal unless I absolutely need a 'record shot'. My first thought is always of light.",Galen Rowell
"I know the guru route, I know you go sit on a mountain. But screw India. I ain't going there.",Susan Powter
There are naked people in boots on a mountain top firing guns.,Andy Richter
"The only very rugged part of the route is in crossing the Big Horn mountain, which is about 30 miles wide.",William Henry Ashley
I had the Big Horn river explored from Wind River mountain to my place of embarkation.,William Henry Ashley
"Sometimes it seemed to me I could not look at those silent little figures; that I must go north, to the grim coal fields, to the Rocky Mountain camps, where the labor fight is at least fought by grown men.",Mary Harris Jones
It is my desire to be a great writer. I know that I still have a mountain to climb to achieve that.,Guy Johnson
Occasionally I have come across a last patch of snow on top of a mountain in late May or June. There's something very powerful about finding snow in summer.,Andy Goldsworthy
"A few men own from ten thousand to two hundred thousand acres each. The poor Laborer can find no resting place, save on the barren mountain, or in the trackless desert.",Denis Kearney
"I'd be nervous about skiing, wondering what I'd do if I felt shaky on top of a mountain; but other diabetics do ski, so there's no reason I couldn't.",Dana Hill
Groups like The Mountain Brothers just have to keep on doing what they're doing - just make it dope and just make it different. And not try to compete with other people of color.,Chad Hugo
My children are all doing just fine. The mountain dogs are great in this weather. The yorkies are freezing.,Catherine Crier
There was this mountain village in Russia where my music was getting in on some German radio station. I remember this because music used to get up to Saskatchewan from Texas. Late at night after the local station closed down.,Joni Mitchell
"Salzburg... is a mountain town with a rushing river running right through the center, everything in the rain various shades of green and brown.",Jonathan Carroll
"If there was the opportunity to climb a mountain, or to go ballooning, or some adventurous activity, I would always be keen to do it. I loved the countryside.",Roger Bannister
"Their humble dwellings were of their own rearing; it was they themselves who had broken in their little fields; from time immemorial, far beyond the reach of history, had they possessed their mountain holdings.",Hugh Miller
"What I mean by photographing as a participant rather than observer is that I'm not only involved directly with some of the activities that I photograph, such as mountain climbing, but even when I'm not I have the philosophy that my mind and body are part of the natural world.",Galen Rowell
"The Black Mountain poet I like most is the early Creeley. Those early poems seem very lyrical and very traditional, with a lot of voice and character.",Robert Morgan
"The truth is, I can never die. For I will be in everything and see you in everything and watch over you. I am your reaction in the water of a mountain lake.",Klaus Kinski
"The traces of upheavals become more impressive when one moves a little higher, when one gets even closer to the foot of the great mountain ranges. There are still plenty of shell layers. We notice them, even thicker and more solid ones.",Georges Cuvier
"Mountains were once my big adventure but is is over since a long time; I still dream from the wonderful days sometimes, read also a few pages from a mountain book. But the thought of doing again active mountain climbing has faded.",Fritz Zwicky
"What people don't appreciate, when they picture Terminator-style automatons striding triumphantly across a mountain of human skulls, is how hard it is to keep your footing on something as unstable as a mountain of human skulls. Most humans probably couldn't manage it, and they've had a lifetime of practice at walking without falling over.",Randall Munroe
The desk thing is a problem for me. The ideal one would be vast and perfectly clear. Yet the bane of the biographical existence is paper; if you're 'an artist under oath' you're writing from a mountain of documentation.,Stacy Schiff
I've had some wins. And been knocked down with defeats. Glimpsed views from the top of the mountain. And walked through the darkest of valleys. But through this entire ride called 'a life' - I've refused to give up.,Robin S. Sharma
"Mind you, physical training doesn't necessarily mean going to an expert for advice. One doesn't have to make a mountain out of a molehill. Get out in the fresh air and walk briskly - and don't forget to wear a smile while you're at it. Don't over-do. Take it easy at first and build on your effort day by day.",Douglas Fairbanks
"If you are in Mountain View, you don't resonate with the needs of urban dwellers. Tumblr couldn't have emerged in Sunnyvale.",Roelof Botha
"'Brokeback Mountain' takes all your conceptions of America, and the Western, and cowboys, and sexuality, and love, and it stirs them all up.",Jake Gyllenhaal
I'm not good at being static. I have to be climbing a mountain.,Michael Ovitz
"Above Coblentz almost every mountain has a ruin and a legend. One feels everywhere the spirit of the past, and its stirring recollections come back upon the mind with irresistible force.",Bayard Taylor
"I want to sit and be less career oriented. Snowboard, dirt bike, mountain bike, surf. Just be human. To me, that's an important part of life.",Jason Lewis
"You have tremendous flexibility in defining both the greater good and the greater community. If you don't succeed in this, then you will continue to pull that heavy wagon up the mountain, and despite the fact that you are pulling it, it will somehow run over your own foot.",Srikumar Rao
"It's 2009, things change. I'm a creature of habit, so in the beginning I wanted it to be as much like the original as possible, but that's not reality. And reality is, this is a new generation, and people want to see 'Witch Mountain' again.",Kim Richards
"As a child growing up in a grey-skied Yorkshire village, I would occasionally happen upon a Bollywood movie on the television. After a few minutes watching a bunch of sari-clad dancers cavorting on a Swiss mountain to tuneless music, I would switch over to some proper drama about housing estates and single mothers.",Simon Beaufoy
"I don't bench press, but I use machines to work 10-12 muscle groups. Biceps, triceps, a few things for the back, calves, shoulders and so on - and then I'll go on the running machine, cross-trainer or mountain climber.",Viswanathan Anand
"I play guitar, the ukulele and the piano. I grew up on a mountain in Tennessee, and we had 'The Mountain Opry,' where anyone could just get up on stage to perform. It was just about the soul and heart of music. My upbringing was less about being great and more about just doing what you love. It was always for joy.",Rachel Boston
"Growing up on a mountain in Tennessee, I spent most of my childhood outside.",Rachel Boston
"I grew up in a house my parents built together on a mountain in Tennessee. When we moved in, the walls were still going up, we didn't have hot water, and we turned it into an amazing adventure.",Rachel Boston
"I moved from a mountain with one traffic light to New York City when I was 17, and it was an amazing, eye opening, creative adventure. I would walk through the streets of Manhattan looking up at these huge buildings, amazed that I didn't know a single person in any of them.",Rachel Boston
I had my first real kiss at Magic Mountain on a park bench. Not the most romantic thing ever.,Vanessa Hudgens
I did not set out to be a poster child for anything. I saw a mountain. I wanted to climb it.,Raha Moharrak
"I'm not the kind of person who's going to look at the top of a mountain and go, 'Oh, look at that! That's lovely. That's lovely, that top of that mountain.' I'm the kind of person who's going to go, 'Oh, my God! That's so lovely! Let's go climb up it!'",Kate Winslet
"Although cover notes for classical music albums tend to say that the trill of flutes suggests mountain streams and so on, I don't think anybody listens to music with the expectation that they're going to be presented with a sort of landscape painting.",Brian Eno
"I guess I am in handsome - in certain parts of the world. If I was, like, in Mongolia, living on a mountain and in my village, I could be the hottest guy. In L.A., I'm... average?",Bobby Lee
Building a company isn't that different from climbing a big mountain. You need people helping you traverse treacherous paths and to lift you up when you fall.,Vivek Wadhwa
"If Yucca Mountain had not been designated as a dumpsite for radioactive waste in 1987, it might easily have become a scenic overlook on the long drive between Tonopah and Las Vegas.",Wil S. Hylton
"Like so many poor Ilokanos, my grandparents left their village, for it could no longer sustain them. The Ilocos is a narrow coastal plain where, so often, the mountain drops to the sea. Land hunger had always afflicted the Ilokanos and made them migratory.",F. Sionil Jose
"For the future world-trading regime to mirror economic reality and to allow the use of modern business strategies, we need a single overarching multilateral framework for trade. We can have either a flat world or a patchwork of crisscrossing mountain ranges and tunnels.",Victor Fung
"I was riding my mountain bike in Colorado, and I met a dog who reminded me so much of my very first dog in the way she interacted with me, looked at me, and wagged her tail that I rode away convinced I'd just very possibly met the reincarnated version of my long lost friend.",W. Bruce Cameron
"Just about every weekend when I was growing up, we would throw rods and rifles and tents and shovels and pickaxes into the back of the truck and then head off to the side of a mountain or the bottom of a canyon. Hiking, fishing, hunting, rock-hounding: this is how my parents passed the time.",Benjamin Percy
"My first yak was fairly quiet and looked a noble steed with my Mexican saddle and gay blanket among rather than upon his thick black locks. His back seemed as broad as that of an elephant, and with his slow, sure, resolute step, he was like a mountain in motion.",Isabella Bird
"Mauna Kea from Hilo has a shapely aspect, for its top is broken into peaks, said to be the craters of extinct volcanoes, but my eyes seek the dome-like curve of Mauna Loa with far deeper interest, for it is as yet an unfinished mountain.",Isabella Bird
"The plantations in the Hilo district enjoy special advantages, for by turning some of the innumerable mountain streams into flumes, the owners can bring a great part of their cane and all their wood for fuel down to the mills without other expense than the original cost of the woodwork.",Isabella Bird
"The San Gabriel Mountains rise like a rampart at the edge of the city, safeguarding more than 500,000 acres of mature forests, mountain streams, dramatic waterfalls, and towering peaks that reach over 9,000 feet. These untamed places attract bighorn sheep, mountain lions, and other threatened or endangered species.",Frances Beinecke
The Khoton people are a small minority group of Mongolians renowned for living a traditional nomad life in the remote slopes and valleys of the Kharkhiraa-Turgen mountain range.,Tim Cope
What drew me to Kazakhstan was a curiosity to learn about life in this 'middle earth' of steppe between the endless forests of Russia in the north and the world's greatest mountain chains to the south.,Tim Cope
"I've always been the, 'Sure, I'll try that' guy. I'm very adventurous and don't have fears. I think I got that from my mother's side because she was an Olympic skier. Jump off a mountain with a parachute? Sure. What could possibly go wrong?","Donald Trump, Jr."
"A man with a mouth like a mastiff, a brow like a mountain, and eyes like burning antracite - that was Dan'l Webster in his prime.",Stephen Vincent Benet
"My mother is Turtle Mountain Chippewa, and she lived on her home reservation. My father taught there. He had just been discharged from the Air Force. He went to school on the GI Bill and got his teaching credentials. He is adventurous - he worked his way through Alaska at age seventeen and paid for his living expenses by winning at the poker table.",Louise Erdrich
"In 1979, just after I became governor, I asked Hillary to chair a rural health committee to help expand health care to isolated farm and mountain areas. They recommended to do that partly by deploying trained nurse practitioners in places with no doctors to provide primary care they were trained to provide.",William J. Clinton
"I reject the idea that the guy who comes out of Yale and goes to work in the projects in Newark is good, and the guy who goes to work for a white-shoe law firm is bad. We're all mountain rangers. We all have peaks and valleys.",Cory Booker
"If people see me giving back to the military, they'll hopefully follow suit and be good to these guys who have done so much. I'm not Lance Armstrong or Tiger Woods - I'm just an old, gray-beard mountain climber, but I'm hoping to inspire people to follow my way.",Conrad Anker
"The mainstream audience has a certain picture of what climbing is all about: man conquering mountain. But you can't conquer a mountain, though it may conquer you.",Jimmy Chin
"Getting to Valle Nevado is half the fun. A serpentine road from Santiago wriggles up the spine of Andean peak for an hour, then traverses a valley and finally up again. The hotel is perched on a rugged mountain crag at 3,000m: no other sign of human development is visible from this spot, which is close to the Argentinean border.",Jonathan Franklin
"I have had the good fortune to be able to climb the highest mountain on each of the seven continents. I have enjoyed the freedom I had gained from building a successful business from scratch, making some money, and creating the lifestyle I wanted.",Gary Johnson
We as taxpayers have put in well over $12 to $15 billion of investment in a repository for high-level nuclear waste... if we're ever to recoup that investment in the future... then we're going to need some money to reopen Yucca Mountain.,Rodney Frelinghuysen
The House has repeatedly had overwhelming votes in support of continuing the Yucca Mountain repository.,Rodney Frelinghuysen
"People have known for thousands of years that oil was abundant on Alaska's North Slope, a vast tundra, flat and treeless, on and on and on, from the foothills of the Brooks Mountain Range to the Arctic Ocean, an endless, unchanging landscape bigger than Idaho.",Jeanne Marie Laskas
"I love sport and will do just about anything. Someone said they'd had a go at skiing off a mountain with a parachute, and that sounds great!",Victoria Pendleton
"Whatever that means, however you got on that mountain, why not try to climb it? And do it in your own way.",Stephen Curry
"There's only one way to gain mountain sense, and that's to be in the mountains a lot. Unfortunately, when you're a young climber, you have none. You're out there, and your risk level is high.",Alex Lowe
"I think book adaptations, the best one to me is like 'Brokeback Mountain.' Which is a short story, 21 pages, that expands so beautifully into a movie.",Derek Cianfrance
"It's not possible to advise a young writer because every young writer is so different. You might say, 'Read,' but a writer can read too much and be paralyzed. Or, 'Don't read, don't think, just write,' and the result could be a mountain of drivel.",Alice Munro
"The history of blacks is complicated, fragmented, disturbing to contemplate - not a neat trail of challenges met or of felled trees blocking the path to the mountain top.",Darryl Pinckney
"You have to be sort of an emotional steward to really get a business to do something hard - to take people up the hill, to conquer the mountain, to sack the city. You have got to be a maniac.",Glenn Kelman
"I have no ancestral link to the mountains. But I really do feel close to mountain culture. Their ways of food, of thinking. The way they hang out with no recording devices and just sing songs with each other.",Lizz Wright
"'Outsiders,' I guess, is sort of dark, but I don't really think of it as dark. The world up there on that mountain, it had the potential to have a lot of fun as well as a lot of drama, these guys raiding the town in their ATVs with their tattoos. It seemed like something different.",David Morse
"One of the most influential of the post-Soviet books was the Princeton historian Stephen Kotkin's 'Magnetic Mountain: Stalinism as a Civilization' (1995), a study of the steel city of Magnitogorsk, the U.S.S.R.'s answer to Pittsburgh, as it was constructed in the shadow of the Ural Mountains in the early nineteen-thirties.",Keith Gessen
"I grew up in suburban New York, and my family wasn't much on traveling, so when I arrived at my alma mater, The Colorado College, I'd never been out West before, seen a 14,000-foot mountain, experienced snow in 70-degree weather, or come into contact with something called a 'dude.'",Jen Sincero
"I knew that I'd be able to climb the mountain, but in such a short period? I didn't think so. I mean, 'SmackDown Live' is the land of opportunity, and I'm a living proof of that.",Jinder Mahal
"Jake 'The Snake' Roberts of Stone Mountain, Georgia, was the darkest! I mean, he could've been a movie villain, he was so intense! He also had the hardest finishing move of all time, the DDT.",Killer Mike
"There was one time I flagged every 'Brokeback Mountain' review on Netflix that was negative. I was, like, 'not helpful,' and I spent, like, an hour doing it, and I wrote a really serious review about it. It's hard for me not to get really sensitive. I don't brush things off like that very easily.",Perfume Genius
I don't have to go to a mountain to meditate. I'm meditative in every moment of my life.,Jaggi Vasudev
"My dad was just so charismatic and witty. One day, I hope people say that I was just as good as my dad on the mic in my own way. I will never be saying 'Space Mountain' or 'limousine riding,' but I hope people say I can control an audience, that I was as captivating as him.",Charlotte Flair
"Believe, really believe, you can move a mountain, and you can. Not many people believe that they can move mountains. So, as a result, not many people do.",David Joseph Schwartz
"When I completed writing 'Soul Mountain,' I more or less closed the accounts with China for myself. I was 50 years old when I left, so China is already within me.",Gao Xingjian
,
I'm at the top of the UFC mountain.,Colby Covington
"When I was younger, I was angry. I was boisterous and loud. I was on top of the mountain, screaming at everybody, 'Look at me!' Now I'm more of a Taoist.",Carlos Mencia
"Seriously, how many places on this planet exist in which you get to say to your boss, 'Sorry, but I'm leaving to climb a mountain, and I won't have Wi-Fi or cell service for a week.'",Brooke Baldwin
"For me, it was the right decision to go to United, because going to the top of the mountain was my dream, especially when you come from Eastern Europe, from a small town, and no one's done it before you.",Dimitar Berbatov
What is the fate of my people in Kurdistan and Sinjar Mountain? What must be done so Yazidis can have their rights?,Nadia Murad
"If anyone understands the enormous mountain that cruiserweights like myself have to climb, it's WWE champion Daniel Bryan - who not only climbed that mountain but now stands atop it.",Mustafa Ali
"The mission of professional mountain climbers is almost impossibly difficult by design: Their very livelihood is based on achieving the unprecedented. Their expeditions are complicated, exhausting, often life-threatening. Risk is the fuel that keeps them going.",Elizabeth Chai Vasarhelyi
"What I learned growing up in Red Mountain Theatre Company is real power and time management and how to represent myself well. How to show up earlier and stay later. Red Mountain Theatre Company, in my opinion, is the most incredible theater conservatory in the world.",Jordan Fisher
"You don't get anything easy when you come from a big band and you go and start another one. You learn real fast that, 'Wow! I went from the top of the mountain to all the way back to the bottom, and I've gotta start over.'",Vinnie Paul
The best date I've had would probably have to be one where I went hiking to a big mountain here in New York.,Mikhail Varshavski
I love bitter broccoli rabe tossed with Calabrian chiles and hidden under a mountain of snowy shaved Parmesan.,Samin Nosrat
"I once had a gig in Gothenburg and went on the most unbelievable theme park ride, which was a rollercoaster built into a mountain that went through plants and tunnels. It was huge and a thrill to go on.",Limahl
"Fractions, decimals, algebra, geometry, trigonometry, calculus, mechanics - these are the steps up the mountain side. How high is one going to get? For me, the pinnacle was Projective Geometry. Who today has even heard of this branch of mathematics?",Christopher Robin Milne
We as mountaineers have had a leading role in the destruction of the mountain wilderness environment that we practice our sport in.,Jeff Lowe
Wall climbing is an offshoot of the more traditional sport of mountain climbing. It is very difficult; one must combine a great deal of stamina with the ability of a world-class gymnast.,Jeff Lowe
I live in Mussoorie. I love my birds and Himalayas. There is always a new mountain to climb and mountains keep coming to me.,Victor Banerjee
I grew up in the North-East so identifying with mountain people - their simplicity and honesty - comes naturally to me. I even call myself an honorary Garhwali.,Victor Banerjee
"You can practice dance, climbing a mountain and action stunts, but to get your timing right you have to have the power of imagination and an alert mind.",Rajpal Yadav
"Being a mountain boy, I have always understood the importance of trees, animals and nature for a human being.",Jubin Nautiyal
I'm an avid mountain biker - complete bike nut is probably more accurate. I've even bought a house in the Santa Monica Mountains.,Yannick Bisson
"My coach, Liang Chow, had one rule while I was training for the 2008 Olympics: no skiing. I could do anything I wanted outside the gym, he said, except ski.",Shawn Johnson
"Switzerland is a place where they don't like to fight, so they get people to do their fighting for them while they ski and eat chocolate.",Larry David
"Americans know as much about Canada as straight people do about gays. Americans arrive at the border with skis in July, and straight people think that being gay is just a phase. A very long phase.",Scott Thompson
"Training a dog, to me, is on a par with learning to dance with my wife or teaching my son to ski. These are fun things we do together. If anyone even talks about dominating the dog or hurting him or fighting him or punishing him, don't go there.",Ian Dunbar
"As the time goes by, you change, your learn new things, your attitude is different. For the moment, I'm still enjoying ski racing so much that it would be difficult for me to think about ending my career.",Hermann Maier
The quality of life is so much higher anyplace you can ski in the morning and surf in the evening - there's something to be said for that.,Ian Somerhalder
"I feel like, with ski racing, you need to have a short memory. You crash all the time, and sometimes it's a really bad one, but sometimes it's not so bad.",Lindsey Vonn
"Sometimes I put on a ski mask and dress in old clothes, go out on the streets and beg for quarters.",Mike Tyson
"If you've never seen an elephant ski, you've never been on acid.",Eddie Izzard
"My boyfriend's idea of a lesson was to take me on a black diamond run in the middle of a hail storm and say, 'Go!' Ski patrol had to escort me to another lift to get me down the mountain. No, that wasn't humiliating, not at all.",Claudia Black
"I think what it takes to succeed remains the same. You have to have a real love of your sport to carry you through all the bad times, you still want to go ski even when things aren't working. You must have a commitment to work hard and to never give up.",Nancy Greene
"I use men's skis because, honestly, they work better for me. They're longer, they're stiffer, they're harder to turn - but at the same time, they're much more stable.",Lindsey Vonn
"Ski jumping is just 10 per cent physical, 90 per cent mental. Some people can't do that. It's not just to do with the fear at the top. It takes a lot of guts to go off the top, but it takes 100 times more courage to jump off the end.",Eddie the Eagle
"I'm not a reckless person, in the sense that I wouldn't do something that's reckless or dangerous, because I'm a pretty careful person. For example, I don't snow ski. I did it once, and I promised God I'd never do it again if I lived through it.",Mike Huckabee
I love the cowbell. I think it's awesome. My family got the cowbell app on their iPhones. It's a classic part of ski racing.,Lindsey Vonn
"I made my dream come true despite all the obstacles - no money, no training, no skis, no snow.",Eddie the Eagle
"I am huge water sports fan. I love to jet ski, speedboat, water ski. So I love to get away to somewhere sunny and just get on the water and have some fun with some friends.",Douglas Booth
"When I first moved to Vail, it was like I was a little celebrity. You know, everyone knew my accomplishments. I was a young, fast teenager and making waves in the ski world. And it was really cool.",Lindsey Vonn
"I grew up born and raised in Las Vegas and actually grew up skiing. You know, we've got some ski resorts close to Las Vegas, up in Mount Charleston or Brian Head, so I grew up skiing and snowboarding.",Amy Purdy
"What else is there in life but to accomplish things and to do things? Sure I like to be on a beach on occasion, I like to ski on occasion, but as long as I have the ability to make a contribution, I am going to keep going.",Martin Cooper
"I remember where I was when I wrote that story, 'Mermaid in a Jar.' I was at a boyfriend's, and he was the only boy I ever dated who was rich, and his parents had a ski chalet, and I just didn't know how to break up with him, so I decided I would be celibate.",Sheila Heti
"The first time I ever saw snow skis was when I was 62 years old and that was 19 years ago and I'm still skiing. So, we'll be skiing with some very close friends of the Carter Center letting them know what the Carter Center is doing around the world. We have programs in over 65 countries.",Jimmy Carter
"The Swedish winters and summers hold the most enduring memories for me. Now, when I am back in Stockholm in November, it is difficult to imagine being able to ski to school. I think that is a tragedy.",Johan Eliasch
I love to ski and drive fast cars and the thrill of exciting things.,Vanessa Williams
I wanted kids to know that it's cool to be in a ski race in the morning and to go play in the terrain park in the afternoon. It's not one or the other.,Ted Ligety
"My parents strapped a pair of plastic skis on my boots when I was two years old and sent me down our driveway in Vail. Of course, they were holding on to me the whole time, but that was my first experience 'skiing.'",Mikaela Shiffrin
People seemed to appreciate how much I wanted to pursue something I loved. They seemed to understand how much ski jumping meant to me.,Eddie the Eagle
"Most places in the Midwest, you ski on piles of trash, like retired landfills.",Nick Goepper
"After my ski jumping career finished, I went back to school to study law, and now I travel between five to 20 times a year doing after-dinner speaking, motivational talks, appearances, openings, TV and radio shows.",Eddie the Eagle
"My favorite hobby is writing and recording songs at my studio. I like to surf, but I don't get a chance to do that as much as I'd like. I don't live close to the beach. I also like to ski, but I don't get to do that much, either.",Scott Weiland
I was something of a prankster. One time I put a ski mask on my head and used a fake gun on the school secretary so that I could get some of my friends out of detention.,Luke Perry
I'd like to live a normal life. I'd like to be able to go out and play some tennis. I'd like to be able to water ski - do a lot of things.,Anita Bryant
"I don't look at it like that's my rival and I have to beat her. It's more like, I have to ski this as fast as I can and the fastest of everyone out here and that's what I expect.",Picabo Street
"Ski racing, especially downhill, is a dangerous activity and there are many accidents. It would be really too bad to lose everything because of a crash.",Hermann Maier
"When you back off, it's easier to do mistakes. For me it's better to ski fast.",Bode Miller
"Look, on the first day of 'The Jump' we shared a ski lift together. We got to the top and Vogue skied off and I said, jokingly at the time: 'I'm going to marry that girl.' Turns out, I am.",Spencer Matthews
"I remember feeling that technology was like trying to draw with your foot. In a ski boot. It was the most indirect way to work imaginable, but the potential had us all excited. I started in stop motion.",Chris Wedge
"I was at a party in Alexandra Palace tobogganing on the ski slope, got whiplashed at 40mph, put my hands out to balance myself, and three fingers got caught in the artificial snow. I broke four knuckles. I have not drummed since.",Dave Clark
"Ski racing is not about how much you weigh. If weight was the key, everybody would be sucking down food.",Lindsey Vonn
"That James Bond movie? The one where Bond skis off a cliff, shucks his skis, and parachutes to the ground? That's for me. That's what I want to be. A stuntman in a Bond movie.",Eddie the Eagle
Can you really learn to knit from a diagram? Try it. Do you want to learn to ski or surf by yourself? You could drown or run into a tree.,Chris Raschka
"Sunday nights, we have dinner together, and we play games on game night; once a year, we get away to ski - when you get kids out of their home environment, they're forced to be with you, and you have a captive audience.",Lori Loughlin
"Very good coaches for ski jumpers stand at the top of the slope and watch the jumpers prepare, rather than standing at the bottom and watching them land.",Roland Joffe
"From the age of 6, when I won my first race in skiing, I was on the national ski teams, really until Olympics in '72, so I always had a lot of discipline and commitment to achieve as much as I could in good way. Competitiveness doesn't stop when you stop skiing.",Ivana Trump
I learned how to cross-country ski.,Lisa Lutz
I donate money to the existing foundation that funds the US Ski Team kids.,Picabo Street
I didn't start skiing until I was 50. My wife Lois taught me how to ski. I'm proficiently conservative.,Buzz Aldrin
I can ski backwards on one ski. And foldblinded!,Ivana Trump
"Charity fundraisers are nothing new to me. In the past, I have taken part in ski races for hospitals, walks for breast cancer, and long distance bike rides for geriatric care.",David Sax
"People are starting to know more about it, but I was blown away by Almaty, Kazakhstan. It's like a future Swiss Alps. It has the potential to be an extraordinary ski resort. It is a city with beautiful mountain scapes.",Lisa Ling
"If it's cross-country ski season, I'll be out doing that, or snowshoeing up in Quebec. In my California home, I go to the local Y and I like doing yoga. It's been hugely beneficial to me in injury avoidance.",Neil Peart
"I think being a good dad is on the list of things to do. But, I will always ski, climb, surf, and be out in the mountains and oceans. It's who I am. My goal is to just keep doing it all and enjoying it.",Jimmy Chin
In Ski Party we are reading up on how to have fun without sex. That was the theme of every AIP picture!,Dwayne Hickman
"I'd be nervous about skiing, wondering what I'd do if I felt shaky on top of a mountain; but other diabetics do ski, so there's no reason I couldn't.",Dana Hill
"The best indication is that I still love to ski on most anything, from skating gear to heavy metal.",Paul Parker
I can ski out of my back door.,Merlin Olsen
"It's good to ski for fun, but I still want to win races as often as possible.",Hermann Maier
"My attitude on skis is different now. I have learned to put less pressure on myself and on the edges of my skis when I'm racing, to be keep myself more under control.",Hermann Maier
"There is no pressure on me, I can take a lot of risks in the coming weeks. I feel free to ski the way I decide on race-day because the overall title was not my main target this winter.",Hermann Maier
"I have some close friends I keep in touch with. I knit. I watch a little too much TV. I ski, if the weather's right for that. If I can find a group of buddies, I go rock climbing.",Melissa Leo
"After 13 years of hard landings in gymnastics, one ski run had delivered the biggest injury of my career.",Shawn Johnson
"But then I hit my 20s and only made two albums, and now I live in a ski resort as a ski bum basically.",Vanessa Mae
"From 1999 to 2003 was the peak of equipment in ski racing. Since then, it's all gone in the wrong direction.",Bode Miller
I don't put anything in front of taking ski racing and sports seriously.,Bode Miller
"I have a very basic leg. But it has a silicon cover on it. I have a flat foot leg, a high heel leg and then I have a leg which, in the winter, I have to ski in and in the summer I swap it into my roller blades.",Heather Mills
"I would love to rent a little cottage or cabin in Colorado and learn to ski or snowboard. And on the warmer side, I also want to rent a house in Hawaii and learn to surf!",Karlie Kloss
I had to work in one of the most beautiful ski resorts in the world for almost three weeks. Pity me.,David Duchovny
"When I was born, my parents were huge into skiing. I grew up on Mont Blanc, skiing on that hill. I was really a ski baby. Loved it; I still love it.",Patrick Chan
"When I use the word 'healing,' by that I mean that every disease has a physical element that we're very good at handling, but there's always a sense of the violation. 'Why me?' 'Why is my leg broken on the ski trip and not anyone else's?' And I think that medicine has done a terrible job of addressing that spiritual violation.",Abraham Verghese
"I always say that polo, for you to pursue a career, mainly any sport, you have to be born in the right place. If you're born in Hawaii, you surf. If you're born in Austria, you probably will ski. If you're born in Argentina, you most likely ride horses and have a chance to play polo.",Nacho Figueras
